id,department,address_type,input_address,fixed_address,address,po_box,city,state,zip_code,geocode_results,latitude,longitude,google_formatted_address
6810,Mattoon Police Department,Street Address,"1710 Wabash Ave.  Mattoon, IL 61938","1710 Wabash Ave. Mattoon, IL 61938",1710 Wabash Ave.,,Mattoon,IL,61938,ROOFTOP,39.4806772,-88.3756587,"1710 Wabash Ave, Mattoon, IL 61938, USA"
6812,Maywood Police Department,Street Address,"125 South 5Th Ave  Maywood, IL 60153","125 South 5Th Ave Maywood, IL 60153",125 South 5Th Ave,,Maywood,IL,60153,ROOFTOP,41.8865589,-87.83878829999999,"125 S 5th Ave, Maywood, IL 60153, USA"
6813,Mazon Police Department,Street Address,"520 Depot StreetP.O. Box 1 Mazon, IL 60444","520 Depot Street P.O. Box 1 Mazon, IL 60444",520 Depot Street,P.O. Box 1,Mazon,IL,60444,RANGE_INTERPOLATED,41.2398447,-88.42404619999999,"520 Depot St, Mazon, IL 60444, USA"
6814,McCook Police Department,Street Address,"5000 Glencoe Ave  McCook, IL 60525","5000 Glencoe Ave McCook, IL 60525",5000 Glencoe Ave,,McCook,IL,60525,ROOFTOP,41.8010879,-87.8325598,"5000 Glencoe St, McCook, IL 60525, USA"
6815,McCullom Lake Police Department,Street Address,"4811 West Orchard Drive  McHenry, IL 60050","4811 West Orchard Drive McHenry, IL 60050",4811 West Orchard Drive,,McHenry,IL,60050,ROOFTOP,42.3661371,-88.291623,"4811 W Orchard Dr, McCullom Lake, IL 60050, USA"
6816,McDonough County Sheriff's Office,Street Address,"110 S Mcarthur St  Macomb, IL 61455","110 S Mcarthur St Macomb, IL 61455",110 S Mcarthur St,,Macomb,IL,61455,ROOFTOP,40.4584356,-90.6735659,"110 S McArthur St, Macomb, IL 61455, USA"
6818,McHenry County Sheriff's Office,Street Address,"2200 N Seminary Ave  Woodstock, IL 60098","2200 N Seminary Ave Woodstock, IL 60098",2200 N Seminary Ave,,Woodstock,IL,60098,ROOFTOP,42.3404544,-88.4408969,"2200 N Seminary Ave, Woodstock, IL 60098, USA"
6820,McLean County Sheriff's Office,Street Address,"104 W Front St  Bloomington, IL 61701","104 W Front St Bloomington, IL 61701",104 W Front St,,Bloomington,IL,61701,ROOFTOP,40.4776184,-88.9940563,"104 W Front St, Bloomington, IL 61701, USA"
6821,McLean Police Department,Street Address,"121 S. Hamilton  McLean, IL 61754","121 S. Hamilton McLean, IL 61754",121 S. Hamilton,,McLean,IL,61754,RANGE_INTERPOLATED,40.3151775,-89.1711081,"121 S Hamilton St, McLean, IL 61754, USA"
6822,McLeansboro Police Department,Street Address,"102 West Main Street  McLeansboro, IL 62859","102 West Main Street McLeansboro, IL 62859",102 West Main Street,,McLeansboro,IL,62859,RANGE_INTERPOLATED,38.0928823,-88.5368622,"102 W Main St, McLeansboro, IL 62859, USA"
6823,Medora Police Department,Ambiguous,"Village Hall  Medora, IL 62063","Village Hall Medora, IL 62063",,,Medora,IL,62063,APPROXIMATE,39.1743833,-90.1435839,"202 W Locust St, Medora, IL 62063, USA"
6826,Menard County Sheriff's Office,PO Box,"P.O. Box 476, Sixth St  Petersburg, IL 62675","P.O. Box 476, Sixth St Petersburg, IL 62675",,P.O. Box 476,Sixth St Petersburg,IL,62675,GEOMETRIC_CENTER,39.9914832,-89.8333375,"6th St, Petersburg, IL 62675, USA"
6827,Mendota Police Department,Street Address,"607 8Th Ave  Mendota, IL 61342","607 8Th Ave Mendota, IL 61342",607 8Th Ave,,Mendota,IL,61342,ROOFTOP,41.5470319,-89.1195138,"607 8th Ave, Mendota, IL 61342, USA"
6828,Mercer County Sheriff's Office,Street Address,"906 Sw 3Rd St  Aledo, IL 61231","906 Sw 3Rd St Aledo, IL 61231",906 Sw 3Rd St,,Aledo,IL,61231,ROOFTOP,41.1995836,-90.7591978,"906 SW 3rd St, Aledo, IL 61231, USA"
6829,Meredosia Police Department,Street Address,"315 Main StreetP. O. Box 238 Meredosia, IL 62665","315 Main Street P. O. Box 238 Meredosia, IL 62665",315 Main Street,P. O. Box 238,Meredosia,IL,62665,RANGE_INTERPOLATED,39.8307008,-90.5606574,"315 Main St, Meredosia, IL 62665, USA"
6830,Metamora Police Department,Street Address,"100 North Davenport  Metamora, IL 61548","100 North Davenport Metamora, IL 61548",100 North Davenport,,Metamora,IL,61548,ROOFTOP,40.7906514,-89.3616127,"Metamora Administration Building, 100 N Davenport St, Metamora, IL 61548, USA"
6833,Metropolis Police Department,Street Address,"1020 Broadway  Metropolis, IL 62960","1020 Broadway Metropolis, IL 62960",1020 Broadway,,Metropolis,IL,62960,ROOFTOP,37.1580961,-88.7308595,"1020 Broadway St, Metropolis, IL 62960, USA"
6835,Midlothian Police Department,Street Address,"14801 S. Pulaski  Midlothian, IL 60445","14801 S. Pulaski Midlothian, IL 60445",14801 S. Pulaski,,Midlothian,IL,60445,ROOFTOP,41.62345759999999,-87.71704509999999,"14801 Pulaski Rd, Midlothian, IL 60445, USA"
6836,Milan Police Department,Street Address,"405 East First Street  Milan, IL 61264","405 East First Street Milan, IL 61264",405 East First Street,,Milan,IL,61264,ROOFTOP,41.449525,-90.56622899999999,"405 1st St E, Milan, IL 61264, USA"
6837,Milford Police Department,PO Box,"P. O. Box 137  Milford, IL 60953","P. O. Box 137 Milford, IL 60953",,P. O. Box 137,Milford,IL,60953,APPROXIMATE,40.6283696,-87.6961395,"Milford, IL 60953, USA"
6838,Milledgeville Police Department,Street Address,"4Th Main Ave.  Milledgeville, IL 61051","4Th Main Ave. Milledgeville, IL 61051",4Th Main Ave.,,Milledgeville,IL,61051,APPROXIMATE,41.9633615,-89.7745604,"Milledgeville, IL 61051, USA"
6839,Millstadt Police Department,Street Address,"108 W. White Street  Millstadt, IL 62260","108 W. White Street Millstadt, IL 62260",108 W. White Street,,Millstadt,IL,62260,RANGE_INTERPOLATED,38.4597571,-90.0932892,"108 W White St, Millstadt, IL 62260, USA"
