Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Cinnaminson Twp Police Dept,NJ,12,15676,23,0,2,9,12,359,78,271,10,146.7,0,12.8,57.4,76.6,2290.1,497.6,1728.8,63.8
Clark Twp Police Dept,NJ,12,14913,5,1,0,1,3,153,15,132,6,33.5,6.7,0,6.7,20.1,1026,100.6,885.1,40.2
Cliffside Park Police Dept,NJ,12,23867,29,1,2,8,18,171,66,102,3,121.5,4.2,8.4,33.5,75.4,716.5,276.5,427.4,12.6
Clifton Police Dept,NJ,12,84684,184,0,13,80,91,1579,358,1080,141,217.3,0,15.4,94.5,107.5,1864.6,422.7,1275.3,166.5
Clinton Twp Police Dept,NJ,12,13514,5,1,1,1,2,81,20,58,3,37,7.4,7.4,7.4,14.8,599.4,148,429.2,22.2
Collingswood Police Dept,NJ,12,13983,25,0,3,17,5,531,123,364,44,178.8,0,21.5,121.6,35.8,3797.5,879.6,2603.2,314.7
Colts Neck Twp Police Dept,NJ,12,10201,7,0,0,2,5,92,29,60,3,68.6,0,0,19.6,49,901.9,284.3,588.2,29.4
Cranford Police Dept,NJ,12,22864,13,0,2,7,4,206,50,151,5,56.9,0,8.7,30.6,17.5,901,218.7,660.4,21.9
Delran Twp Police Dept,NJ,12,17012,15,0,1,7,7,256,47,200,9,88.2,0,5.9,41.1,41.1,1504.8,276.3,1175.6,52.9
Denville Twp Police Dept,NJ,12,16809,2,0,0,1,1,160,42,118,0,11.9,0,0,5.9,5.9,951.9,249.9,702,0
Deptford Twp Police Dept,NJ,12,30800,104,2,3,43,56,1570,277,1255,38,337.7,6.5,9.7,139.6,181.8,5097.4,899.4,4074.7,123.4
Town Of Dover Police Dept,NJ,12,18347,47,0,1,24,22,331,82,236,13,256.2,0,5.5,130.8,119.9,1804.1,446.9,1286.3,70.9
Dumont Police Dept,NJ,12,17682,17,0,3,5,9,133,22,111,0,96.1,0,17,28.3,50.9,752.2,124.4,627.8,0
East Brunswick Police Dept,NJ,12,48009,25,0,0,11,14,859,124,716,19,52.1,0,0,22.9,29.2,1789.2,258.3,1491.4,39.6
East Hanover Twp Police Dept,NJ,12,11274,13,0,0,1,12,188,17,164,7,115.3,0,0,8.9,106.4,1667.6,150.8,1454.7,62.1
East Orange Police Dept,NJ,12,64682,364,5,22,142,195,1165,349,478,338,562.8,7.7,34,219.5,301.5,1801.1,539.6,739,522.6
East Windsor Twp Police Dept,NJ,12,27389,30,0,3,7,20,273,54,205,14,109.5,0,11,25.6,73,996.8,197.2,748.5,51.1
Eatontown Police Dept,NJ,12,12785,32,0,5,8,19,489,71,412,6,250.3,0,39.1,62.6,148.6,3824.8,555.3,3222.5,46.9
Edgewater Police Dept,NJ,12,11647,9,0,0,5,4,193,26,157,10,77.3,0,0,42.9,34.3,1657.1,223.2,1348,85.9
Edison Twp Police Dept,NJ,12,101007,122,0,9,59,54,1481,341,1029,111,120.8,0,8.9,58.4,53.5,1466.2,337.6,1018.7,109.9
Egg Harbor Twp Police Dept,NJ,12,43501,99,0,3,24,72,854,194,628,32,227.6,0,6.9,55.2,165.5,1963.2,446,1443.6,73.6
Elizabeth Police Dept,NJ,12,126281,1007,14,37,535,421,4351,987,2197,1167,797.4,11.1,29.3,423.7,333.4,3445.5,781.6,1739.8,924.1
Elmwood Park Police Dept,NJ,12,19627,22,0,0,10,12,352,75,255,22,112.1,0,0,51,61.1,1793.4,382.1,1299.2,112.1
Englewood City Police Dept,NJ,12,27460,81,0,2,29,50,439,144,269,26,295,0,7.3,105.6,182.1,1598.7,524.4,979.6,94.7
Evesham Twp Police Dept,NJ,12,45849,30,0,2,8,20,684,114,561,9,65.4,0,4.4,17.4,43.6,1491.9,248.6,1223.6,19.6
Ewing Twp Police Dept,NJ,12,36388,76,2,6,35,33,680,218,418,44,208.9,5.5,16.5,96.2,90.7,1868.7,599.1,1148.7,120.9
Fair Lawn Police Dept,NJ,12,32830,24,0,3,8,13,386,68,307,11,73.1,0,9.1,24.4,39.6,1175.8,207.1,935.1,33.5
Fairview Police Dept,NJ,12,13994,24,0,0,13,11,195,69,121,5,171.5,0,0,92.9,78.6,1393.5,493.1,864.7,35.7
Florence Police Dept,NJ,12,12192,14,1,1,5,7,108,41,63,4,114.8,8.2,8.2,41,57.4,885.8,336.3,516.7,32.8
Florham Park Police Dept,NJ,12,11809,5,0,2,1,2,71,9,57,5,42.3,0,16.9,8.5,16.9,601.2,76.2,482.7,42.3
Fort Lee Police Dept,NJ,12,35754,30,1,0,11,18,275,57,203,15,83.9,2.8,0,30.8,50.3,769.1,159.4,567.8,42
Franklin Lakes Police Dept,NJ,12,10712,4,0,0,1,3,90,23,63,4,37.3,0,0,9.3,28,840.2,214.7,588.1,37.3
Franklin Twp (Gloucester Co) Police Dept,NJ,12,16952,27,0,2,5,20,365,120,224,21,159.3,0,11.8,29.5,118,2153.1,707.9,1321.4,123.9
Freehold Boro Police Dept,NJ,12,12122,39,1,4,26,8,179,46,121,12,321.7,8.2,33,214.5,66,1476.7,379.5,998.2,99
Freehold Twp Police Dept,NJ,12,36397,36,0,8,13,15,854,87,748,19,98.9,0,22,35.7,41.2,2346.3,239,2055.1,52.2
Galloway Twp Police Dept,NJ,12,37506,87,0,5,17,65,674,183,461,30,232,0,13.3,45.3,173.3,1797,487.9,1229.1,80
Garfield Police Dept,NJ,12,30838,65,0,5,26,34,641,123,476,42,210.8,0,16.2,84.3,110.3,2078.6,398.9,1543.6,136.2
Glassboro Police Dept,NJ,12,18718,39,1,6,18,14,483,138,329,16,208.4,5.3,32.1,96.2,74.8,2580.4,737.3,1757.7,85.5
Glen Rock Police Dept,NJ,12,11734,6,0,0,2,4,88,12,75,1,51.1,0,0,17,34.1,750,102.3,639.2,8.5
Gloucester City Police Dept,NJ,12,11501,29,0,2,11,16,359,98,255,6,252.2,0,17.4,95.6,139.1,3121.5,852.1,2217.2,52.2
Gloucester Twp Police Dept,NJ,12,64898,208,0,7,41,160,1540,394,1084,62,320.5,0,10.8,63.2,246.5,2373,607.1,1670.3,95.5
Guttenberg Police Dept,NJ,12,11355,36,1,0,11,24,128,43,78,7,317,8.8,0,96.9,211.4,1127.3,378.7,686.9,61.6
Hackensack Police Dept,NJ,12,43499,144,0,4,34,106,879,107,703,69,331,0,9.2,78.2,243.7,2020.7,246,1616.1,158.6
Haddon Twp Police Dept,NJ,12,14766,21,0,0,13,8,420,91,305,24,142.2,0,0,88,54.2,2844.4,616.3,2065.6,162.5
Haddonfield Police Dept,NJ,12,11639,6,0,1,4,1,236,72,159,5,51.6,0,8.6,34.4,8.6,2027.7,618.6,1366.1,43
Hamilton Twp (Atlantic Co)  Police Dept,NJ,12,26613,61,0,2,21,38,925,195,699,31,229.2,0,7.5,78.9,142.8,3475.7,732.7,2626.5,116.5
Hamilton Twp (Mercer Co) Police Dept,NJ,12,89111,188,0,10,98,80,1978,489,1357,132,211,0,11.2,110,89.8,2219.7,548.8,1522.8,148.1
Hammonton Police Dept,NJ,12,14852,15,0,0,1,14,186,60,118,8,101,0,0,6.7,94.3,1252.4,404,794.5,53.9
Hanover Twp Police Dept,NJ,12,13857,9,0,1,3,5,175,40,129,6,64.9,0,7.2,21.6,36.1,1262.9,288.7,930.9,43.3
Town Of Harrison Police Dept,NJ,12,13841,61,0,1,23,37,412,70,281,61,440.7,0,7.2,166.2,267.3,2976.7,505.7,2030.2,440.7
Harrison Twp Police Dept,NJ,12,12514,10,0,3,1,6,177,63,113,1,79.9,0,24,8,47.9,1414.4,503.4,903,8
Hasbrouch Heights Police Dept,NJ,12,11978,4,0,0,2,2,69,17,50,2,33.4,0,0,16.7,16.7,576.1,141.9,417.4,16.7
Hawthorne Police Dept,NJ,12,18914,8,0,0,0,8,249,61,167,21,42.3,0,0,0,42.3,1316.5,322.5,882.9,111
Hazlet Twp Police Dept,NJ,12,20456,10,0,0,5,5,242,28,208,6,48.9,0,0,24.4,24.4,1183,136.9,1016.8,29.3
Highland Park Boro Police Dept,NJ,12,14129,7,0,0,3,4,247,57,174,16,49.5,0,0,21.2,28.3,1748.2,403.4,1231.5,113.2
Hillsboro Twp Police Dept,NJ,12,38665,7,0,1,0,6,282,76,200,6,18.1,0,2.6,0,15.5,729.3,196.6,517.3,15.5
Hillsdale Police Dept,NJ,12,10337,2,0,1,0,1,76,11,65,0,19.3,0,9.7,0,9.7,735.2,106.4,628.8,0
Hillside Police Dept,NJ,12,21630,78,0,5,47,26,608,144,346,118,360.6,0,23.1,217.3,120.2,2810.9,665.7,1599.6,545.5
Hoboken City Police Dept,NJ,12,50794,150,0,11,43,96,995,151,743,101,295.3,0,21.7,84.7,189,1958.9,297.3,1462.8,198.8
Holmdel Twp Police Dept,NJ,12,16873,8,0,2,2,4,208,24,181,3,47.4,0,11.9,11.9,23.7,1232.7,142.2,1072.7,17.8
Hopatcong Police Dept,NJ,12,15144,7,0,0,1,6,110,26,83,1,46.2,0,0,6.6,39.6,726.4,171.7,548.1,6.6
Hopewell Twp Police Dept,NJ,12,17430,8,0,0,2,6,163,42,119,2,45.9,0,0,11.5,34.4,935.2,241,682.7,11.5
Howell Twp Police Dept,NJ,12,51379,41,0,1,9,31,638,171,455,12,79.8,0,1.9,17.5,60.3,1241.8,332.8,885.6,23.4
Irvington Twp Police Dept,NJ,12,54274,708,9,20,324,355,1967,563,797,607,1304.5,16.6,36.9,597,654.1,3624.2,1037.3,1468.5,1118.4
Jackson Twp Police Dept,NJ,12,55400,63,0,6,9,48,751,285,453,13,113.7,0,10.8,16.2,86.6,1355.6,514.4,817.7,23.5
Jefferson Twp Police Dept,NJ,12,21539,5,0,0,0,5,229,83,142,4,23.2,0,0,0,23.2,1063.2,385.3,659.3,18.6
Jersey City Police Dept,NJ,12,251554,1847,11,45,880,911,5479,1426,3291,762,734.2,4.4,17.9,349.8,362.1,2178.1,566.9,1308.3,302.9
Keansburg Police Dept,NJ,12,10166,31,2,0,8,21,314,56,251,7,304.9,19.7,0,78.7,206.6,3088.7,550.9,2469,68.9
Kearny Police Dept,NJ,12,41310,100,0,3,53,44,887,123,633,131,242.1,0,7.3,128.3,106.5,2147.2,297.7,1532.3,317.1
Kinnelon Police Dept,NJ,12,10355,7,0,0,0,7,53,14,36,3,67.6,0,0,0,67.6,511.8,135.2,347.7,29
Lacey Twp Police Dept,NJ,12,27918,18,0,1,4,13,665,119,539,7,64.5,0,3.6,14.3,46.6,2382,426.2,1930.7,25.1
Lakewood Police Dept,NJ,12,93742,110,2,1,46,61,1103,274,785,44,117.3,2.1,1.1,49.1,65.1,1176.6,292.3,837.4,46.9
Lawrence Twp Police Dept,NJ,12,33483,37,0,5,19,13,786,95,668,23,110.5,0,14.9,56.7,38.8,2347.5,283.7,1995,68.7
Lincoln Park Police Dept,NJ,12,10628,6,0,1,4,1,99,34,63,2,56.5,0,9.4,37.6,9.4,931.5,319.9,592.8,18.8
Linden Police Dept,NJ,12,40926,131,1,5,56,69,971,162,689,120,320.1,2.4,12.2,136.8,168.6,2372.6,395.8,1683.5,293.2
Lindenwold Police Dept,NJ,12,17685,133,1,5,58,69,705,269,379,57,752,5.7,28.3,328,390.2,3986.4,1521.1,2143.1,322.3
Little Egg Harbor Police Dept,NJ,12,20261,34,0,2,2,30,480,143,326,11,167.8,0,9.9,9.9,148.1,2369.1,705.8,1609,54.3
Little Falls Police Dept,NJ,12,14520,17,0,1,4,12,232,63,145,24,117.1,0,6.9,27.5,82.6,1597.8,433.9,998.6,165.3
Little Ferry Boro Police Dept,NJ,12,10749,11,0,0,2,9,120,20,86,14,102.3,0,0,18.6,83.7,1116.4,186.1,800.1,130.2
Livingston Police Dept,NJ,12,29556,15,0,2,7,6,423,41,342,40,50.8,0,6.8,23.7,20.3,1431.2,138.7,1157.1,135.3
Lodi Police Dept,NJ,12,24415,43,0,0,23,20,420,102,271,47,176.1,0,0,94.2,81.9,1720.3,417.8,1110,192.5
Long Branch Police Dept,NJ,12,30902,124,0,6,39,79,803,204,567,32,401.3,0,19.4,126.2,255.6,2598.5,660.2,1834.8,103.6
Lower Twp Police Dept,NJ,12,22819,28,2,1,7,18,615,163,441,11,122.7,8.8,4.4,30.7,78.9,2695.1,714.3,1932.6,48.2
Lumberton Police Dept,NJ,12,12645,14,0,1,4,9,326,45,269,12,110.7,0,7.9,31.6,71.2,2578.1,355.9,2127.3,94.9
Lyndhurst Twp Police Dept,NJ,12,20791,13,1,0,6,6,281,51,213,17,62.5,4.8,0,28.9,28.9,1351.5,245.3,1024.5,81.8
Madison Boro Police Dept,NJ,12,16002,7,0,0,1,6,106,18,85,3,43.7,0,0,6.2,37.5,662.4,112.5,531.2,18.7
Mahwah Twp Police Dept,NJ,12,26170,3,1,0,0,2,120,13,99,8,11.5,3.8,0,0,7.6,458.5,49.7,378.3,30.6
Manalapan Twp Police Dept,NJ,12,39105,23,0,0,9,14,353,98,235,20,58.8,0,0,23,35.8,902.7,250.6,600.9,51.1
Manchester Twp Police Dept,NJ,12,43491,20,0,0,1,19,457,199,255,3,46,0,0,2.3,43.7,1050.8,457.6,586.3,6.9
Mantua Twp Police Dept,NJ,12,15334,12,0,1,2,9,252,53,192,7,78.3,0,6.5,13,58.7,1643.4,345.6,1252.1,45.7
Manville Boro Police Dept,NJ,12,10443,5,0,0,3,2,208,31,164,13,47.9,0,0,28.7,19.2,1991.8,296.8,1570.4,124.5
Maple Shade Police Dept,NJ,12,19261,35,0,4,12,19,467,177,243,47,181.7,0,20.8,62.3,98.6,2424.6,919,1261.6,244
Maplewood Police Dept,NJ,12,24022,45,2,0,30,13,519,112,361,46,187.3,8.3,0,124.9,54.1,2160.5,466.2,1502.8,191.5
Marlboro Twp Police Dept,NJ,12,40430,17,0,1,5,11,321,84,227,10,42,0,2.5,12.4,27.2,794,207.8,561.5,24.7
Medford Twp Police Dept,NJ,12,23191,17,0,7,1,9,267,59,201,7,73.3,0,30.2,4.3,38.8,1151.3,254.4,866.7,30.2
Metuchen Police Dept,NJ,12,13715,11,0,0,5,6,197,38,149,10,80.2,0,0,36.5,43.7,1436.4,277.1,1086.4,72.9
Middle Twp Police Dept,NJ,12,18875,47,0,4,12,31,898,184,677,37,249,0,21.2,63.6,164.2,4757.6,974.8,3586.8,196
Middlesex Boro Police Dept,NJ,12,13778,4,0,0,3,1,131,29,99,3,29,0,0,21.8,7.3,950.8,210.5,718.5,21.8
Middletown Twp Police Dept,NJ,12,66919,45,1,6,8,30,731,161,555,15,67.2,1.5,9,12,44.8,1092.4,240.6,829.4,22.4
Millburn Police Dept,NJ,12,20279,8,0,0,2,6,566,66,485,15,39.4,0,0,9.9,29.6,2791.1,325.5,2391.6,74
Millville Police Dept,NJ,12,28651,248,2,14,94,138,2083,506,1533,44,865.6,7,48.9,328.1,481.7,7270.3,1766.1,5350.6,153.6
Monroe Twp (Gloucester Co) Police Dept,NJ,12,36410,34,0,1,11,22,881,281,569,31,93.4,0,2.7,30.2,60.4,2419.7,771.8,1562.8,85.1
Monroe Twp (Middlesex Co) Police Dept,NJ,12,39539,22,0,1,3,18,245,67,169,9,55.6,0,2.5,7.6,45.5,619.6,169.5,427.4,22.8
Montclair Twp Police Dept,NJ,12,37912,49,2,4,26,17,680,220,419,41,129.2,5.3,10.6,68.6,44.8,1793.6,580.3,1105.2,108.1
Montgomery Twp Police Dept,NJ,12,22464,3,0,1,0,2,132,29,99,4,13.4,0,4.5,0,8.9,587.6,129.1,440.7,17.8
Montville Twp Police Dept,NJ,12,21755,5,0,1,0,4,174,22,149,3,23,0,4.6,0,18.4,799.8,101.1,684.9,13.8
Moorestown Twp Police Dept,NJ,11,20868,17,0,5,7,5,464,64,378,22,,,,,,,,,
Morris Twp Police Dept,NJ,12,22534,11,0,1,0,10,133,40,85,8,48.8,0,4.4,0,44.4,590.2,177.5,377.2,35.5
Morristown Police Dept,NJ,12,18601,85,0,4,24,57,353,82,255,16,457,0,21.5,129,306.4,1897.7,440.8,1370.9,86
Mt Laurel Twp Police Dep,NJ,12,42150,33,0,3,18,12,711,135,552,24,78.3,0,7.1,42.7,28.5,1686.8,320.3,1309.6,56.9
Mt Olive Twp Police Dept,NJ,12,28412,11,0,2,3,6,261,83,165,13,38.7,0,7,10.6,21.1,918.6,292.1,580.7,45.8
Neptune Twp Police Dept,NJ,12,28101,152,0,16,55,81,1372,298,1026,48,540.9,0,56.9,195.7,288.2,4882.4,1060.5,3651.1,170.8
New Brunswick Police Dept,NJ,12,55717,382,8,24,216,134,1511,557,871,83,685.6,14.4,43.1,387.7,240.5,2711.9,999.7,1563.3,149
New Milford Police Dept,NJ,12,16529,3,0,0,1,2,98,23,74,1,18.1,0,0,6,12.1,592.9,139.1,447.7,6
New Providence Police Dept,NJ,12,12298,2,0,0,1,1,85,17,64,4,16.3,0,0,8.1,8.1,691.2,138.2,520.4,32.5
Newark Police Dept,NJ,12,278906,3220,96,55,1976,1093,10199,2144,4093,3962,1154.5,34.4,19.7,708.5,391.9,3656.8,768.7,1467.5,1420.6
North Arlington Police Dept,NJ,12,15570,9,0,0,2,7,194,26,146,22,57.8,0,0,12.8,45,1246,167,937.7,141.3
North Bergen Twp Police Dept,NJ,12,61747,89,2,7,36,44,731,124,496,111,144.1,3.2,11.3,58.3,71.3,1183.9,200.8,803.3,179.8
North Brunswick Twp Police Dept,NJ,12,41163,51,0,2,26,23,729,219,478,32,123.9,0,4.9,63.2,55.9,1771,532,1161.2,77.7
North Plainfield Police Dept,NJ,12,22143,49,1,2,20,26,409,114,282,13,221.3,4.5,9,90.3,117.4,1847.1,514.8,1273.5,58.7
Nutley Twp Police Dept,NJ,12,28554,22,0,1,6,15,301,82,196,23,77,0,3.5,21,52.5,1054.1,287.2,686.4,80.5
Oakland Police Dept,NJ,12,12899,8,0,0,0,8,109,16,88,5,62,0,0,0,62,845,124,682.2,38.8
Ocean City Police Dept,NJ,12,11676,15,0,1,1,13,478,88,388,2,128.5,0,8.6,8.6,111.3,4093.9,753.7,3323.1,17.1
Ocean Twp (Monmouth Co) Police Dept,NJ,12,27454,39,0,3,14,22,547,105,419,23,142.1,0,10.9,51,80.1,1992.4,382.5,1526.2,83.8
Old Bridge Twp Police Dept,NJ,12,66057,56,2,2,15,37,912,143,710,59,84.8,3,3,22.7,56,1380.6,216.5,1074.8,89.3
Orange City Police Dept,NJ,12,30329,262,3,17,138,104,806,264,336,206,863.9,9.9,56.1,455,342.9,2657.5,870.5,1107.9,679.2
Palisades Park Police Dept,NJ,11,19849,19,0,1,8,10,150,44,95,11,,,,,,,,,
Paramus Police Dept,NJ,12,26638,29,0,2,19,8,1373,54,1291,28,108.9,0,7.5,71.3,30,5154.3,202.7,4846.5,105.1
Parsippany Police Dept,NJ,12,53793,39,2,5,14,18,496,137,329,30,72.5,3.7,9.3,26,33.5,922.1,254.7,611.6,55.8
Passaic Police Dept,NJ,12,70237,513,6,2,232,273,1459,439,863,157,730.4,8.5,2.8,330.3,388.7,2077.3,625,1228.7,223.5
Paterson Police Dept,NJ,12,147148,1552,21,22,854,655,4640,1619,2114,907,1054.7,14.3,15,580.4,445.1,3153.3,1100.3,1436.6,616.4
Pemberton Twp Police Dept,NJ,12,28104,102,1,29,27,45,696,259,406,31,362.9,3.6,103.2,96.1,160.1,2476.5,921.6,1444.6,110.3
Pennsauken Police Dept,NJ,12,36033,111,0,5,62,44,1247,255,826,166,308.1,0,13.9,172.1,122.1,3460.7,707.7,2292.3,460.7
Pennsville Twp Police Dept,NJ,12,13437,26,0,5,4,17,376,80,289,7,193.5,0,37.2,29.8,126.5,2798.2,595.4,2150.8,52.1
Pequannock Police Dept,NJ,12,15703,6,0,0,4,2,132,34,86,12,38.2,0,0,25.5,12.7,840.6,216.5,547.7,76.4
Perth Amboy Police Dept,NJ,12,51345,233,1,9,95,128,1220,383,711,126,453.8,1.9,17.5,185,249.3,2376.1,745.9,1384.8,245.4
Phillipsburg Police Dept,NJ,12,14973,34,1,7,11,15,435,83,336,16,227.1,6.7,46.8,73.5,100.2,2905.2,554.3,2244,106.9
Pine Hill Police Dept,NJ,12,10273,42,0,3,13,26,266,98,158,10,408.8,0,29.2,126.5,253.1,2589.3,954,1538,97.3
Piscataway Twp Police Dept,NJ,12,56593,64,0,1,21,42,526,133,366,27,113.1,0,1.8,37.1,74.2,929.4,235,646.7,47.7
Plainfield Police Dept,NJ,12,50332,358,6,14,165,173,1445,526,818,101,711.3,11.9,27.8,327.8,343.7,2870.9,1045.1,1625.2,200.7
Plainsboro Police Dept,NJ,12,23240,5,0,0,0,5,171,33,131,7,21.5,0,0,0,21.5,735.8,142,563.7,30.1
Pleasantville Police Dept,NJ,12,20334,145,8,20,43,74,582,70,464,48,713.1,39.3,98.4,211.5,363.9,2862.2,344.3,2281.9,236.1
Point Pleasant Police Dept,NJ,12,18572,13,0,1,4,8,320,64,252,4,70,0,5.4,21.5,43.1,1723,344.6,1356.9,21.5
Pompton Lakes Police Dept,NJ,12,11169,13,0,1,1,11,88,18,67,3,116.4,0,9,9,98.5,787.9,161.2,599.9,26.9
Princeton Boro Police Dept,NJ,8,12191,10,0,0,5,5,317,54,261,2,,,,,,,,,
Princeton Twp Police Dept,NJ,12,16384,6,0,0,1,5,148,41,105,2,36.6,0,0,6.1,30.5,903.3,250.2,640.9,12.2
Rahway Police Dept,NJ,12,27635,77,1,1,43,32,470,110,303,57,278.6,3.6,3.6,155.6,115.8,1700.7,398,1096.4,206.3
Ramsey Police Dept,NJ,12,14639,14,0,1,2,11,144,7,131,6,95.6,0,6.8,13.7,75.1,983.7,47.8,894.9,41
Randolph Twp Police Dept,NJ,12,26004,4,0,0,1,3,211,46,152,13,15.4,0,0,3.8,11.5,811.4,176.9,584.5,50
Raritan Twp Police Dept,NJ,12,22239,3,0,0,0,3,199,31,163,5,13.5,0,0,0,13.5,894.8,139.4,732.9,22.5
Readington Twp Police Dept,NJ,12,16165,6,0,0,0,6,157,28,127,2,37.1,0,0,0,37.1,971.2,173.2,785.6,12.4
Red Bank Police Dept,NJ,12,12278,36,1,3,22,10,237,32,198,7,293.2,8.1,24.4,179.2,81.4,1930.3,260.6,1612.6,57
Ridgefield Police Dept,NJ,12,11159,7,0,0,3,4,67,21,40,6,62.7,0,0,26.9,35.8,600.4,188.2,358.5,53.8
Ridgefield Park Village Police Dept,NJ,12,12875,12,0,0,5,7,136,32,90,14,93.2,0,0,38.8,54.4,1056.3,248.5,699,108.7
Ridgewood Police Dept,NJ,12,25244,11,0,1,3,7,258,40,210,8,43.6,0,4,11.9,27.7,1022,158.5,831.9,31.7
Ringwood Police Dept,NJ,12,12306,4,0,0,1,3,93,21,69,3,32.5,0,0,8.1,24.4,755.7,170.6,560.7,24.4
River Edge Police Dept,NJ,12,11470,3,2,0,1,0,97,25,67,5,26.2,17.4,0,8.7,0,845.7,218,584.1,43.6
Washington Twp (Mercer Co) Police Dept,NJ,12,13741,7,0,0,1,6,150,30,112,8,50.9,0,0,7.3,43.7,1091.6,218.3,815.1,58.2
Rockaway Twp Police Dept,NJ,12,24410,12,0,0,9,3,448,58,384,6,49.2,0,0,36.9,12.3,1835.3,237.6,1573.1,24.6
Roselle Police Dept,NJ,12,21309,72,4,1,39,28,414,129,229,56,337.9,18.8,4.7,183,131.4,1942.8,605.4,1074.7,262.8
Roselle Park Boro Police Dept,NJ,12,13438,8,0,0,4,4,127,52,67,8,59.5,0,0,29.8,29.8,945.1,387,498.6,59.5
Roxbury Twp Police Dept,NJ,12,23569,10,0,2,4,4,334,46,278,10,42.4,0,8.5,17,17,1417.1,195.2,1179.5,42.4
Rutherford Police Dept,NJ,12,18268,8,0,0,3,5,304,76,214,14,43.8,0,0,16.4,27.4,1664.1,416,1171.4,76.6
Saddle Brook Police Dept,NJ,12,13816,1,0,0,0,1,315,36,273,6,7.2,0,0,0,7.2,2280,260.6,1976,43.4
Sayreville Police Dept,NJ,12,43151,38,1,1,12,24,579,128,423,28,88.1,2.3,2.3,27.8,55.6,1341.8,296.6,980.3,64.9
Scotch Plains Police Dept,NJ,12,23759,12,1,0,4,7,271,58,205,8,50.5,4.2,0,16.8,29.5,1140.6,244.1,862.8,33.7
Secaucus Police Dept,NJ,12,16517,16,0,0,16,0,462,36,377,49,96.9,0,0,96.9,0,2797.1,218,2282.5,296.7
Somers Point Police Dept,NJ,12,10840,28,0,0,9,19,351,66,275,10,258.3,0,0,83,175.3,3238,608.9,2536.9,92.3
Somerville Police Dept,NJ,12,12210,18,0,0,16,2,262,42,211,9,147.4,0,0,131,16.4,2145.8,344,1728.1,73.7
South Brunswick Twp Police Dept,NJ,12,43875,34,0,2,7,25,518,108,372,38,77.5,0,4.6,16,57,1180.6,246.2,847.9,86.6
South Orange Village Police Dept,NJ,12,16301,40,0,0,31,9,365,95,227,43,245.4,0,0,190.2,55.2,2239.1,582.8,1392.6,263.8
South Plainfield Police Dept,NJ,12,23629,26,1,0,10,15,425,52,354,19,110,4.2,0,42.3,63.5,1798.6,220.1,1498.2,80.4
South River Police Dept,NJ,12,16176,22,0,2,2,18,206,46,151,9,136,0,12.4,12.4,111.3,1273.5,284.4,933.5,55.6
Sparta Twp Police Dept,NJ,12,19720,2,0,1,1,0,186,30,152,4,10.1,0,5.1,5.1,0,943.2,152.1,770.8,20.3
Springfield Twp (Union Co) Police Dept,NJ,12,15985,4,0,1,3,0,201,29,162,10,25,0,6.3,18.8,0,1257.4,181.4,1013.5,62.6
Stafford Twp Police Dept,NJ,12,26796,16,0,0,2,14,471,60,400,11,59.7,0,0,7.5,52.2,1757.7,223.9,1492.8,41.1
Summit Police Dept,NJ,12,21684,12,0,0,3,9,193,29,163,1,55.3,0,0,13.8,41.5,890.1,133.7,751.7,4.6
Teaneck Police Dept,NJ,12,40230,56,0,0,29,27,586,120,442,24,139.2,0,0,72.1,67.1,1456.6,298.3,1098.7,59.7
Tenafly Police Dept,NJ,12,14654,3,0,0,0,3,109,35,68,6,20.5,0,0,0,20.5,743.8,238.8,464,40.9
Tinton Falls Police Dept,NJ,12,17999,13,1,0,2,10,457,66,384,7,72.2,5.6,0,11.1,55.6,2539,366.7,2133.5,38.9
Dover Twp Police Dept,NJ,12,92131,81,1,3,40,37,2893,640,2215,38,87.9,1.1,3.3,43.4,40.2,3140.1,694.7,2404.2,41.2
Totowa Police Dept,NJ,12,10874,35,0,0,2,33,373,57,285,31,321.9,0,0,18.4,303.5,3430.2,524.2,2620.9,285.1
Trenton Police Dept,NJ,12,85317,1251,24,23,577,627,2746,1291,986,469,1466.3,28.1,27,676.3,734.9,3218.6,1513.2,1155.7,549.7
Union City Police Dept,NJ,12,67518,250,1,2,106,141,1265,241,891,133,370.3,1.5,3,157,208.8,1873.6,356.9,1319.6,197
Union Twp Police Dept,NJ,12,57234,79,0,5,44,30,1067,171,768,128,138,0,8.7,76.9,52.4,1864.3,298.8,1341.9,223.6
Ventnor City Police Dept,NJ,12,10693,12,1,2,8,1,347,99,245,3,112.2,9.4,18.7,74.8,9.4,3245.1,925.8,2291.2,28.1
Vernon Twp Police Dept,NJ,12,23939,14,1,1,1,11,341,117,220,4,58.5,4.2,4.2,4.2,46,1424.5,488.7,919,16.7
Verona Twp Police Dept,NJ,12,13418,5,0,2,1,2,154,33,117,4,37.3,0,14.9,7.5,14.9,1147.7,245.9,872,29.8
Vineland Police Dept,NJ,12,61252,225,1,7,66,151,2541,694,1804,43,367.3,1.6,11.4,107.8,246.5,4148.4,1133,2945.2,70.2
