Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Lancaster Police Dept,TX,12,37653,106,0,6,38,62,1276,488,671,117,281.5,0,15.9,100.9,164.7,3388.8,1296,1782.1,310.7
Laredo,TX,12,245558,1036,8,81,183,764,10685,1718,8586,381,421.9,3.3,33,74.5,311.1,4351.3,699.6,3496.5,155.2
League City Police Dept,TX,12,86127,79,0,16,28,35,1734,299,1366,69,91.7,0,18.6,32.5,40.6,2013.3,347.2,1586,80.1
Leander City Police Dept,TX,12,28244,41,0,2,3,36,352,53,291,8,145.2,0,7.1,10.6,127.5,1246.3,187.7,1030.3,28.3
Leon Valley Police Dept,TX,12,10558,28,0,1,9,18,810,94,664,52,265.2,0,9.5,85.2,170.5,7671.9,890.3,6289.1,492.5
Levelland Police Dept,TX,12,13719,86,1,11,8,66,579,186,385,8,626.9,7.3,80.2,58.3,481.1,4220.4,1355.8,2806.3,58.3
Lewisville Police Dept,TX,12,100216,168,2,21,48,97,2591,492,1880,219,167.6,2,21,47.9,96.8,2585.4,490.9,1875.9,218.5
Liberty County Sheriff Department,TX,12,,152,1,2,8,141,890,297,492,101,,,,,,,,,
Little Elm Police Dept,TX,12,27246,25,0,2,8,15,267,55,205,7,91.8,0,7.3,29.4,55.1,980,201.9,752.4,25.7
Live Oak City Police Dept,TX,12,13657,27,0,1,6,20,686,77,568,41,197.7,0,7.3,43.9,146.4,5023.1,563.8,4159,300.2
Lockhart Police Dept,TX,12,13013,61,0,9,8,44,402,101,281,20,468.8,0,69.2,61.5,338.1,3089.2,776.1,2159.4,153.7
Longview Police Dept,TX,12,82554,463,7,28,131,297,4212,950,2946,316,560.8,8.5,33.9,158.7,359.8,5102.1,1150.8,3568.6,382.8
Lubbock County Sheriff Office,TX,12,,144,0,25,1,118,575,180,333,62,,,,,,,,,
Lubbock Police Dept,TX,12,237241,1962,11,104,325,1522,12273,3099,8429,745,827,4.6,43.8,137,641.5,5173.2,1306.3,3552.9,314
Lufkin Police Dept,TX,12,35956,221,2,12,43,164,2231,456,1711,64,614.6,5.6,33.4,119.6,456.1,6204.8,1268.2,4758.6,178
Lumberton,TX,12,12258,14,0,3,2,9,227,41,176,10,114.2,0,24.5,16.3,73.4,1851.9,334.5,1435.8,81.6
Mansfield Police Dept,TX,12,58490,74,2,23,22,27,916,169,700,47,126.5,3.4,39.3,37.6,46.2,1566.1,288.9,1196.8,80.4
